"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/books/les_miserables_tokens_1-gram.txt",4000,5.70371809017239,20000,0.332451814266979
"data/books/les_miserables_tokens_1-gram.txt",8000,6.17236721690889,40000,0.025827224602807
"data/books/les_miserables_tokens_1-gram.txt",12000,6.39329239903626,60000,0.0177937819246929
"data/books/les_miserables_tokens_1-gram.txt",16000,6.46064374550042,80000,0.0329372051013251
"data/books/les_miserables_tokens_1-gram.txt",20000,6.51970831779378,1e+05,0.0125372314335313
"data/books/les_miserables_tokens_1-gram.txt",24000,6.50447207182124,20000,0.332451814266979
"data/books/les_miserables_tokens_1-gram.txt",28000,6.55326847701578,40000,0.025827224602807
"data/books/les_miserables_tokens_1-gram.txt",32000,6.56663349459269,60000,0.0177937819246929
"data/books/les_miserables_tokens_1-gram.txt",36000,6.54444406695375,80000,0.0329372051013251
"data/books/les_miserables_tokens_1-gram.txt",40000,6.51670347462453,1e+05,0.0125372314335313
"data/books/les_miserables_tokens_1-gram.txt",44000,6.45455624841126,20000,0.332451814266979
"data/books/les_miserables_tokens_1-gram.txt",48000,6.47322299510041,40000,0.025827224602807
"data/books/les_miserables_tokens_1-gram.txt",52000,6.489882593552,60000,0.0177937819246929
"data/books/les_miserables_tokens_1-gram.txt",56000,6.47884419577209,80000,0.0329372051013251
"data/books/les_miserables_tokens_1-gram.txt",60000,6.44646442913472,1e+05,0.0125372314335313
"data/books/les_miserables_tokens_1-gram.txt",64000,6.51246888453815,20000,0.332451814266979
"data/books/les_miserables_tokens_1-gram.txt",68000,6.54529105374607,40000,0.025827224602807
"data/books/les_miserables_tokens_1-gram.txt",72000,6.58411343245573,60000,0.0177937819246929
"data/books/les_miserables_tokens_1-gram.txt",76000,6.58506734422417,80000,0.0329372051013251
"data/books/les_miserables_tokens_1-gram.txt",80000,6.58624544692772,1e+05,0.0125372314335313
"data/books/les_miserables_tokens_1-gram.txt",84000,6.57972415506493,20000,0.332451814266979
"data/books/les_miserables_tokens_1-gram.txt",88000,6.57426962614221,40000,0.025827224602807
"data/books/les_miserables_tokens_1-gram.txt",92000,6.573347737676,60000,0.0177937819246929
"data/books/les_miserables_tokens_1-gram.txt",96000,6.56815706408052,80000,0.0329372051013251
"data/books/les_miserables_tokens_1-gram.txt",1e+05,6.54738437519043,1e+05,0.0125372314335313
