"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",4000,2.85170496633037,20000,0.038335007070085
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",8000,2.82054480443477,40000,0.0142322945217862
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",12000,2.78633139585395,60000,0.0189768273921054
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",16000,2.76658125646821,80000,0.00316901639232097
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",20000,2.76104900073388,1e+05,0.00900492548426667
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",24000,2.75252449500579,20000,0.038335007070085
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",28000,2.75150651565346,40000,0.0142322945217862
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",32000,2.74108896970601,60000,0.0189768273921054
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",36000,2.72736804163107,80000,0.00316901639232097
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",40000,2.72078354656957,1e+05,0.00900492548426667
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",44000,2.71616376154444,20000,0.038335007070085
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",48000,2.70777269656321,40000,0.0142322945217862
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",52000,2.69341503932577,60000,0.0189768273921054
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",56000,2.6773571587423,80000,0.00316901639232097
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",60000,2.67199061488256,1e+05,0.00900492548426667
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",64000,2.66924679821369,20000,0.038335007070085
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",68000,2.66322403909695,40000,0.0142322945217862
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",72000,2.66499324109138,60000,0.0189768273921054
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",76000,2.66225213845315,80000,0.00316901639232097
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",80000,2.6611457567372,1e+05,0.00900492548426667
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",84000,2.65667387522668,20000,0.038335007070085
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",88000,2.65495066064464,40000,0.0142322945217862
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",92000,2.64820124833294,60000,0.0189768273921054
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",96000,2.63999821505583,80000,0.00316901639232097
"data/stream-cleaned/streams-cleaned_by_lang/es_tokens_1-gram_char.txt",1e+05,2.63617006427436,1e+05,0.00900492548426667
