"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/streams-clean/by_lang/es_tokens_1-gram.txt",4000,7.28992917179232,20000,0.202007059272603
"data/streams-clean/by_lang/es_tokens_1-gram.txt",8000,7.67633499980488,40000,0.0269786722814944
"data/streams-clean/by_lang/es_tokens_1-gram.txt",12000,7.76773210268252,60000,0.0244179166496712
"data/streams-clean/by_lang/es_tokens_1-gram.txt",16000,7.74296255210233,80000,0.0292526348148344
"data/streams-clean/by_lang/es_tokens_1-gram.txt",20000,7.75230347396322,1e+05,0.00851936392432234
"data/streams-clean/by_lang/es_tokens_1-gram.txt",24000,7.72659362276216,20000,0.202007059272603
"data/streams-clean/by_lang/es_tokens_1-gram.txt",28000,7.75450610424251,40000,0.0269786722814944
"data/streams-clean/by_lang/es_tokens_1-gram.txt",32000,7.76816991290327,60000,0.0244179166496712
"data/streams-clean/by_lang/es_tokens_1-gram.txt",36000,7.79545482773521,80000,0.0292526348148344
"data/streams-clean/by_lang/es_tokens_1-gram.txt",40000,7.78481937942057,1e+05,0.00851936392432234
"data/streams-clean/by_lang/es_tokens_1-gram.txt",44000,7.78722518613837,20000,0.202007059272603
"data/streams-clean/by_lang/es_tokens_1-gram.txt",48000,7.77278211845993,40000,0.0269786722814944
"data/streams-clean/by_lang/es_tokens_1-gram.txt",52000,7.73326698558885,60000,0.0244179166496712
"data/streams-clean/by_lang/es_tokens_1-gram.txt",56000,7.73277339007488,80000,0.0292526348148344
"data/streams-clean/by_lang/es_tokens_1-gram.txt",60000,7.74695487028246,1e+05,0.00851936392432234
"data/streams-clean/by_lang/es_tokens_1-gram.txt",64000,7.74176940531113,20000,0.202007059272603
"data/streams-clean/by_lang/es_tokens_1-gram.txt",68000,7.77252848997843,40000,0.0269786722814944
"data/streams-clean/by_lang/es_tokens_1-gram.txt",72000,7.77798429653139,60000,0.0244179166496712
"data/streams-clean/by_lang/es_tokens_1-gram.txt",76000,7.8075342931678,80000,0.0292526348148344
"data/streams-clean/by_lang/es_tokens_1-gram.txt",80000,7.81440516608445,1e+05,0.00851936392432234
"data/streams-clean/by_lang/es_tokens_1-gram.txt",84000,7.82424359132243,20000,0.202007059272603
"data/streams-clean/by_lang/es_tokens_1-gram.txt",88000,7.83269947957473,40000,0.0269786722814944
"data/streams-clean/by_lang/es_tokens_1-gram.txt",92000,7.8383915744421,60000,0.0244179166496712
"data/streams-clean/by_lang/es_tokens_1-gram.txt",96000,7.83758505587126,80000,0.0292526348148344
"data/streams-clean/by_lang/es_tokens_1-gram.txt",1e+05,7.84753346033411,1e+05,0.00851936392432234
