"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/es_by_emotion/1_tokens_1-gram.txt",4000,7.15325827617291,20000,0.109938154832018
"data/es_by_emotion/1_tokens_1-gram.txt",8000,7.13021550240705,40000,0.05588646297728
"data/es_by_emotion/1_tokens_1-gram.txt",12000,7.28761579289229,60000,0.0333184863756205
"data/es_by_emotion/1_tokens_1-gram.txt",16000,7.36537401465825,80000,0.0225887235893439
"data/es_by_emotion/1_tokens_1-gram.txt",20000,7.35095666637248,1e+05,0.0261353582415462
"data/es_by_emotion/1_tokens_1-gram.txt",24000,7.39385701275544,20000,0.109938154832018
"data/es_by_emotion/1_tokens_1-gram.txt",28000,7.41609253601587,40000,0.05588646297728
"data/es_by_emotion/1_tokens_1-gram.txt",32000,7.36724835703847,60000,0.0333184863756205
"data/es_by_emotion/1_tokens_1-gram.txt",36000,7.30163771956235,80000,0.0225887235893439
"data/es_by_emotion/1_tokens_1-gram.txt",40000,7.28971770324153,1e+05,0.0261353582415462
"data/es_by_emotion/1_tokens_1-gram.txt",44000,7.28939221308608,20000,0.109938154832018
"data/es_by_emotion/1_tokens_1-gram.txt",48000,7.27565158660397,40000,0.05588646297728
"data/es_by_emotion/1_tokens_1-gram.txt",52000,7.27385742129126,60000,0.0333184863756205
"data/es_by_emotion/1_tokens_1-gram.txt",56000,7.22008332294059,80000,0.0225887235893439
"data/es_by_emotion/1_tokens_1-gram.txt",60000,7.21951968107294,1e+05,0.0261353582415462
"data/es_by_emotion/1_tokens_1-gram.txt",64000,7.21515802695912,20000,0.109938154832018
"data/es_by_emotion/1_tokens_1-gram.txt",68000,7.20390115654444,40000,0.05588646297728
"data/es_by_emotion/1_tokens_1-gram.txt",72000,7.19372390550728,60000,0.0333184863756205
"data/es_by_emotion/1_tokens_1-gram.txt",76000,7.16463458951537,80000,0.0225887235893439
"data/es_by_emotion/1_tokens_1-gram.txt",80000,7.1662162422771,1e+05,0.0261353582415462
"data/es_by_emotion/1_tokens_1-gram.txt",84000,7.1614373713155,20000,0.109938154832018
"data/es_by_emotion/1_tokens_1-gram.txt",88000,7.13175170081682,40000,0.05588646297728
"data/es_by_emotion/1_tokens_1-gram.txt",92000,7.11768310673756,60000,0.0333184863756205
"data/es_by_emotion/1_tokens_1-gram.txt",96000,7.09774001470125,80000,0.0225887235893439
"data/es_by_emotion/1_tokens_1-gram.txt",1e+05,7.10020729145924,1e+05,0.0261353582415462
