"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/es_by_offensive/1_tokens_1-gram.txt",4000,5.91846274022227,20000,0.190180823110656
"data/es_by_offensive/1_tokens_1-gram.txt",8000,6.11666058886623,40000,0.0293161510089557
"data/es_by_offensive/1_tokens_1-gram.txt",12000,6.24122172363667,60000,0.0314755117506786
"data/es_by_offensive/1_tokens_1-gram.txt",16000,6.26017855249258,80000,0.032719194201053
"data/es_by_offensive/1_tokens_1-gram.txt",20000,6.43099063206354,1e+05,0.0228849752144626
"data/es_by_offensive/1_tokens_1-gram.txt",24000,6.42568294661391,20000,0.190180823110656
"data/es_by_offensive/1_tokens_1-gram.txt",28000,6.38382294898087,40000,0.0293161510089557
"data/es_by_offensive/1_tokens_1-gram.txt",32000,6.38310767129959,60000,0.0314755117506786
"data/es_by_offensive/1_tokens_1-gram.txt",36000,6.34588085761129,80000,0.032719194201053
"data/es_by_offensive/1_tokens_1-gram.txt",40000,6.36701899998622,1e+05,0.0228849752144626
"data/es_by_offensive/1_tokens_1-gram.txt",44000,6.33615675221702,20000,0.190180823110656
"data/es_by_offensive/1_tokens_1-gram.txt",48000,6.33079120932512,40000,0.0293161510089557
"data/es_by_offensive/1_tokens_1-gram.txt",52000,6.30951867606818,60000,0.0314755117506786
"data/es_by_offensive/1_tokens_1-gram.txt",56000,6.27563380157893,80000,0.032719194201053
"data/es_by_offensive/1_tokens_1-gram.txt",60000,6.26690408451296,1e+05,0.0228849752144626
"data/es_by_offensive/1_tokens_1-gram.txt",64000,6.315096386181,20000,0.190180823110656
"data/es_by_offensive/1_tokens_1-gram.txt",68000,6.29532829869404,40000,0.0293161510089557
"data/es_by_offensive/1_tokens_1-gram.txt",72000,6.2659677383333,60000,0.0314755117506786
"data/es_by_offensive/1_tokens_1-gram.txt",76000,6.23886721405957,80000,0.032719194201053
"data/es_by_offensive/1_tokens_1-gram.txt",80000,6.24467774251434,1e+05,0.0228849752144626
"data/es_by_offensive/1_tokens_1-gram.txt",84000,6.27195270354677,20000,0.190180823110656
"data/es_by_offensive/1_tokens_1-gram.txt",88000,6.28830716946315,40000,0.0293161510089557
"data/es_by_offensive/1_tokens_1-gram.txt",92000,6.24511529149311,60000,0.0314755117506786
"data/es_by_offensive/1_tokens_1-gram.txt",96000,6.24869805972933,80000,0.032719194201053
"data/es_by_offensive/1_tokens_1-gram.txt",1e+05,6.23090406633772,1e+05,0.0228849752144626
