"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/es_by_sentiment/1_tokens_1-gram.txt",4000,6.57231694207278,20000,0.215331668449488
"data/es_by_sentiment/1_tokens_1-gram.txt",8000,6.83354518628164,40000,0.0330742988271182
"data/es_by_sentiment/1_tokens_1-gram.txt",12000,6.97549145326643,60000,0.0382335279186234
"data/es_by_sentiment/1_tokens_1-gram.txt",16000,7.09399912495836,80000,0.0828219838733707
"data/es_by_sentiment/1_tokens_1-gram.txt",20000,7.07568382552483,1e+05,0.0531168358174622
"data/es_by_sentiment/1_tokens_1-gram.txt",24000,7.07443284060748,20000,0.215331668449488
"data/es_by_sentiment/1_tokens_1-gram.txt",28000,7.09652870033535,40000,0.0330742988271182
"data/es_by_sentiment/1_tokens_1-gram.txt",32000,7.03706189390599,60000,0.0382335279186234
"data/es_by_sentiment/1_tokens_1-gram.txt",36000,7.03068465040539,80000,0.0828219838733707
"data/es_by_sentiment/1_tokens_1-gram.txt",40000,7.0171350572762,1e+05,0.0531168358174622
"data/es_by_sentiment/1_tokens_1-gram.txt",44000,6.98127325913568,20000,0.215331668449488
"data/es_by_sentiment/1_tokens_1-gram.txt",48000,6.96527825256115,40000,0.0330742988271182
"data/es_by_sentiment/1_tokens_1-gram.txt",52000,6.93232591040465,60000,0.0382335279186234
"data/es_by_sentiment/1_tokens_1-gram.txt",56000,6.92326337760365,80000,0.0828219838733707
"data/es_by_sentiment/1_tokens_1-gram.txt",60000,6.88336290070832,1e+05,0.0531168358174622
"data/es_by_sentiment/1_tokens_1-gram.txt",64000,6.852589665957,20000,0.215331668449488
"data/es_by_sentiment/1_tokens_1-gram.txt",68000,6.82189710795973,40000,0.0330742988271182
"data/es_by_sentiment/1_tokens_1-gram.txt",72000,6.8073650478477,60000,0.0382335279186234
"data/es_by_sentiment/1_tokens_1-gram.txt",76000,6.73458887932829,80000,0.0828219838733707
"data/es_by_sentiment/1_tokens_1-gram.txt",80000,6.64628320009866,1e+05,0.0531168358174622
"data/es_by_sentiment/1_tokens_1-gram.txt",84000,6.5895312807339,20000,0.215331668449488
"data/es_by_sentiment/1_tokens_1-gram.txt",88000,6.55798111125314,40000,0.0330742988271182
"data/es_by_sentiment/1_tokens_1-gram.txt",92000,6.5224282763022,60000,0.0382335279186234
"data/es_by_sentiment/1_tokens_1-gram.txt",96000,6.479566644544,80000,0.0828219838733707
"data/es_by_sentiment/1_tokens_1-gram.txt",1e+05,6.46175033606096,1e+05,0.0531168358174622
