"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",4000,7.20346647100728,20000,0.162892805279572
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",8000,7.47350901013992,40000,0.0238918786483091
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",12000,7.43645910710955,60000,0.00620421683371146
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",16000,7.54420352368613,80000,0.00662550941108483
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",20000,7.64027972497305,1e+05,0.0161702667474908
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",24000,7.62486558875489,20000,0.162892805279572
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",28000,7.56970165219903,40000,0.0238918786483091
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",32000,7.60046601925909,60000,0.00620421683371146
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",36000,7.62742182358779,80000,0.00662550941108483
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",40000,7.61790625809081,1e+05,0.0161702667474908
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",44000,7.63012528981337,20000,0.162892805279572
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",48000,7.62788361292595,40000,0.0238918786483091
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",52000,7.62663195784898,60000,0.00620421683371146
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",56000,7.61668564365164,80000,0.00662550941108483
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",60000,7.63308029549152,1e+05,0.0161702667474908
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",64000,7.62706818148654,20000,0.162892805279572
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",68000,7.61503184009972,40000,0.0238918786483091
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",72000,7.61098646005265,60000,0.00620421683371146
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",76000,7.62435847069106,80000,0.00662550941108483
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",80000,7.62107135339502,1e+05,0.0161702667474908
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",84000,7.63300735143296,20000,0.162892805279572
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",88000,7.64473777972258,40000,0.0238918786483091
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",92000,7.66664936633118,60000,0.00620421683371146
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",96000,7.66436018821281,80000,0.00662550941108483
"data/streams-clean/by_lang_w_P/es_tokens_1-gram.txt",1e+05,7.67039628538361,1e+05,0.0161702667474908
