"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",4000,6.99497113772274,20000,0.109638495737646
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",8000,7.2263210600477,40000,0.0279545290803913
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",12000,7.20009969566003,60000,0.0119284724339856
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",16000,7.21490610863208,80000,0.00991125511562211
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",20000,7.28067913879126,1e+05,0.0112214330586069
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",24000,7.37281054332241,20000,0.109638495737646
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",28000,7.35503589745332,40000,0.0279545290803913
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",32000,7.40192281457728,60000,0.0119284724339856
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",36000,7.39883558542208,80000,0.00991125511562211
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",40000,7.42734592538751,1e+05,0.0112214330586069
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",44000,7.45177793331015,20000,0.109638495737646
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",48000,7.46883947182574,40000,0.0279545290803913
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",52000,7.45556393696429,60000,0.0119284724339856
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",56000,7.44749163672003,80000,0.00991125511562211
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",60000,7.43610914725041,1e+05,0.0112214330586069
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",64000,7.43989647772732,20000,0.109638495737646
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",68000,7.41412035162081,40000,0.0279545290803913
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",72000,7.43315833480803,60000,0.0119284724339856
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",76000,7.42628471913365,80000,0.00991125511562211
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",80000,7.43446243943491,1e+05,0.0112214330586069
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",84000,7.40483575252287,20000,0.109638495737646
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",88000,7.39373976562388,40000,0.0279545290803913
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",92000,7.41385344490139,60000,0.0119284724339856
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",96000,7.41367803219133,80000,0.00991125511562211
"data/streams-clean/by_lang_w_P_A_E/fr_tokens_1-gram.txt",1e+05,7.42357427438157,1e+05,0.0112214330586069
