"file","entropy.Corpus.Size","entropy.Entropy","sd.Corpus.Size","sd.SD"
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",3403,6.03578801494249,17015,0.173700165452024
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",6806,6.28426926782669,34030,0.0218880784052984
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",10209,6.36031026037416,51045,0.0241514402097889
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",13612,6.42585198588035,68060,0.0210459035178199
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",17015,6.48074292444134,85075,0.0104098458499023
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",20418,6.51488559310959,17015,0.173700165452024
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",23821,6.53857926148944,34030,0.0218880784052984
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",27224,6.55990915194437,51045,0.0241514402097889
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",30627,6.55743613827994,68060,0.0210459035178199
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",34030,6.57037069326967,85075,0.0104098458499023
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",37433,6.55142870780647,17015,0.173700165452024
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",40836,6.53161480294837,34030,0.0218880784052984
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",44239,6.50610912450896,51045,0.0241514402097889
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",47642,6.50954568377292,68060,0.0210459035178199
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",51045,6.48939607056217,85075,0.0104098458499023
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",54448,6.46405849759649,17015,0.173700165452024
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",57851,6.44695503518673,34030,0.0218880784052984
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",61254,6.43344561989962,51045,0.0241514402097889
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",64657,6.42509820298746,68060,0.0210459035178199
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",68060,6.40880458218879,85075,0.0104098458499023
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",71463,6.40333356054315,17015,0.173700165452024
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",74866,6.40264945775892,34030,0.0218880784052984
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",78269,6.39070664735878,51045,0.0241514402097889
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",81672,6.38769271310693,68060,0.0210459035178199
"data/scraping-cleaned/billgates_2009-06-01_2023-01-01_tokens_1-gram.txt",85075,6.37883041588388,85075,0.0104098458499023
